d,   grid_dl,  score_dl,  grid_jj,  score_jjs
7,   101.0,    96.3,      1244,     261
9,   106.1,    104.6,     2132,     341
11,  106.1,    104.6,     3256,     441
13,  111.2,    112.9,     4616,     561
15,  111.2,    112.9,     6212,     701
17,  116.3,    121.2,     8044,     861
19,  116.3,    121.2,     10112,    1041
21,  116.3,    121.2,     12416,    1241
