JTL, 2
C, 4
C_INV, 4
M, 5
S, 3
INH, 4
DRO, 4
DRO2R, 6
PTL, 0
NDRO, 11
DRO_SR, 13
DRO_C, 13
INV, 8
AND, 11
OR, 12
XOR, 11
XNOR, 19
