d,enc_del,jj
7,86.29999999999998,261
9,92.6,341
11,92.6,441
13,98.89999999999999,561
15,98.89999999999999,701
17,105.19999999999999,861
19,105.19999999999999,1041
21,105.19999999999999,1241
